,part_id,question_id,membership_guid,question,comment_id,date,rationale,answer_probability,answer_text,answer_consensus,accuracy
31959,31959,659,cf5a7d5937c97a09c19edcc73a49f59ec71dbe3e,What will be the average percentage cost of remitting $200 USD from Russia to Ukraine in Third Quarter 2019?,170616,2019-08-07T02:28:42Z,"cf5a7d5937c97a09c19edcc73a49f59ec71dbe3e: Less than 1.3, 0.51 probability
cf5a7d5937c97a09c19edcc73a49f59ec71dbe3e: Between 1.3 and 1.6, inclusive,  0.4 probability
cf5a7d5937c97a09c19edcc73a49f59ec71dbe3e: More than 1.6,  0.09 probability
cf5a7d5937c97a09c19edcc73a49f59ec71dbe3e: As of the last reporting period, only Western Union with their high $4 charge was listed. Should other players get included, the rate will certainly drop. I'm expecting a return of other financial tech companies into the market by the third quarter and a drop in the average back to the historical level of low 1% range.
 [UPDATE:] 
cf5a7d5937c97a09c19edcc73a49f59ec71dbe3e: Less than 1.3, 0.08 probability
cf5a7d5937c97a09c19edcc73a49f59ec71dbe3e: Between 1.3 and 1.6, inclusive,  0.41 probability
cf5a7d5937c97a09c19edcc73a49f59ec71dbe3e: More than 1.6,  0.51 probability
cf5a7d5937c97a09c19edcc73a49f59ec71dbe3e: fees have stayed high as fintech avoids the risky area. no signs of it reverting back to cheqp transfers","[0.08, 0.41, 0.51]","['Less than 1.3', 'Between 1.3 and 1.6, inclusive', 'More than 1.6']","[0, 0, 1]",0.1382
30532,30532,647,077d40c5cc6eac97b956a83b8c62343eb198aee1,"Before 1 July 2019, will the FAO report 1,200,000 or more pigs have been culled in China to thwart the spread of African Swine Fever?",149897,2019-06-05T17:33:09Z,"077d40c5cc6eac97b956a83b8c62343eb198aee1: Yes, 0.95 probability
077d40c5cc6eac97b956a83b8c62343eb198aee1: No, 0.050000000000000044 probability
077d40c5cc6eac97b956a83b8c62343eb198aee1: According to the current FAO report, 1,129,000 pigs have already been culled in China to stop the spread, and additional sources indicate that this number may already be under-reported. Although Chinese authorities claim the number of cases is dropping, many fear that the claims are a cover-up to avoid panic. The disease does not appear to be going away and has infected pigs throughout Asia and now Australia. Because there is no vaccine to prevent the disease, culling is currently the only way to stop it from spreading. Furthermore, the disease lives on contaminated materials for weeks, making it difficult to stop the spread. Some experts predict that up to 200 million pigs will be culled or die from the disease in China this year. Given the difficulty of stopping the spread of swine flu and the already large number of pigs that have been culled, I predict a very high chance that 1,200,000 or more pigs will be culled by July 1.

<a target=""_blank"" href=""https://www.scmp.com/economy/china-economy/article/3002717/china-says-it-has-contained-african-swine-fever-cover-claims"">https://www.scmp.com/economy/china-economy/article/3002717/china-says-it-has-contained-african-swine-fever-cover-claims</a>
<a target=""_blank"" href=""https://www.reuters.com/article/us-china-swinefever-oie/china-faces-long-struggle-to-tackle-african-swine-fever-oie-idUSKCN1SY1SA"">https://www.reuters.com/article/us-china-swinefever-oie/china-faces-long-struggle-to-tackle-african-swine-fever-oie-idUSKCN1SY1SA</a>","[0.95,0.050000000000000044]","['Yes', 'No']",[0],1.805
10385,10385,527,cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da,"Before 30 July 2019, will the Afghan Taliban and the governments of Afghanistan and the United States hold official three-way peace talks?",143624,2019-05-15T19:20:07Z,"cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da: Yes, 0.3 probability
cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da: No, 0.7 probability
cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da: I predict a possibility of 30% due to the fact that the Trump administration has been pushing to end the 17 year old war and bring U.S. troops home. President Trump is full of surprises so I would not be surprised if the three way peace talks actually do happen Before July 30, 2019. For more information read this article. <a target=""_blank"" href=""https://www.nbcnews.com/politics/national-security/trump-envoy-selling-out-afghanistan-taliban-peace-talks-senior-afghan-n983326"">https://www.nbcnews.com/politics/national-security/trump-envoy-selling-out-afghanistan-taliban-peace-talks-senior-afghan-n983326</a>
 [UPDATE:] 
cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da: Yes, 0.25 probability
cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da: No, 0.75 probability
cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da: I am lowering my update by 5% as in all actuality July 30th 2019 is fairly close and in this situation there is some frustration as well as miscommunication. One side wants this done soon while the other wants it done, but does not want to rush just to ensure things are clear and all sides can be trusted to keep their agreements. I do not believe that peace talks will happen within the next few months.
 [UPDATE:] 
cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da: Yes, 0.1 probability
cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da: No, 0.9 probability
cb7e4ec25135de2dcc54ca5f3cca86d123bbf2da: The Afghan government has not been involved in the talks as it has refused to negotiate with the Afghan Taliban and see the Taliban talks with the U.S. untrustworthy. Meanwhile the Taliban wants to speed up the peaceful process.
<a target=""_blank"" href=""https://www.aljazeera.com/news/2019/05/taliban-talks-peace-afghanistan-190510062940394.html"">https://www.aljazeera.com/news/2019/05/taliban-talks-peace-afghanistan-190510062940394.html</a>","[0.1,0.9]","['Yes', 'No']",[0],0.02
51339,51339,793,e4740b48303028e96c5d5fe5c947e88b5f511edd,How many Clashes will the Myanmar Peace Monitor record for September 2019?,171225,2019-08-08T17:49:04Z,"e4740b48303028e96c5d5fe5c947e88b5f511edd: Less than 10, 0.0 probability
e4740b48303028e96c5d5fe5c947e88b5f511edd: Between 10 and 15, inclusive,  0.15 probability
e4740b48303028e96c5d5fe5c947e88b5f511edd: More than 15 but less than 19,  0.15 probability
e4740b48303028e96c5d5fe5c947e88b5f511edd: Between 19 and 25, inclusive,  0.4 probability
e4740b48303028e96c5d5fe5c947e88b5f511edd: More than 25,  0.3 probability
e4740b48303028e96c5d5fe5c947e88b5f511edd: According to the data here are the stats for 2019 so far:
Jan:  23
Feb:  27
Mar:  31
Apr:  18
May:  20
Jun:  27
Jul:  27
An average of 25 per month.  I would expect it would be close to the average.","[0.0, 0.15, 0.15, 0.4, 0.3]","['Less than 10', 'Between 10 and 15, inclusive', 'More than 15 but less than 19', 'Between 19 and 25, inclusive', 'More than 25']","[<NA>, <NA>, <NA>, <NA>, <NA>]",unknown
41350,41350,716,d32b42e70a5b8f4b85005892ce3a980f1f0594cc,"Before 1 November 2019, will Belgium's new federal government be sworn in?",156668,2019-06-26T17:38:23Z,"d32b42e70a5b8f4b85005892ce3a980f1f0594cc: Yes, 0.1 probability
d32b42e70a5b8f4b85005892ce3a980f1f0594cc: No, 0.9 probability
d32b42e70a5b8f4b85005892ce3a980f1f0594cc: Elections were held in May in Belgium.  Because of the divisive nature of Belgian politics at the moment, the process of forming a new government will take some time, and even optimists don't expect any movement for awhile. According to one source (cited below), ""Political parties seem to be waiting for the situation to clear up at the regional level before moving forward at the national level.""  And the parties the regional levels seem in no hurry to resolve their issues. 

source:  <a target=""_blank"" href=""https://think.ing.com/articles/belgium-political-situation-remains-murky/"">https://think.ing.com/articles/belgium-political-situation-remains-murky/</a>","[0.1,0.9]","['Yes', 'No']",[0],0.02
20364,20364,582,5f72b967759b60ecbb1f0217fe14bc7913319064,What will be the closing value of the Brazilian Real (BRL) to one U.S. Dollar exchange rate on 18 July 2019?,161525,2019-07-10T20:07:36Z,"5f72b967759b60ecbb1f0217fe14bc7913319064: Less than 3.818, 0.05 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: Between 3.818 and 3.896, inclusive,  0.05 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: More than 3.896 but less than 3.963,  0.1 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: Between 3.963 and 4.041, inclusive,  0.4 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: More than 4.041,  0.4 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: Looking at the trend over time (1 month, 6 month, YTD, and 1 year) it is very obvious that the value of BRL fluctuates greatly. However, even with that being the case, if you expand out to the 5 year chart you see that overall the value trends upwards more than down. While it is possible for the value to dip greatly, I think this forecast is the best I can do with current information and will update as the closing date draws near.
<a target=""_blank"" href=""https://www.bloomberg.com/quote/USDBRL:CUR"">https://www.bloomberg.com/quote/USDBRL:CUR</a>
 [UPDATE:] 
5f72b967759b60ecbb1f0217fe14bc7913319064: Less than 3.818, 0.9 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: Between 3.818 and 3.896, inclusive,  0.1 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: More than 3.896 but less than 3.963,  0.0 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: Between 3.963 and 4.041, inclusive,  0.0 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: More than 4.041,  0.0 probability
5f72b967759b60ecbb1f0217fe14bc7913319064: After spiking earlier this year, the Real has had a downward trend, including somewhat of a crash. Its current value is sitting at 3.7565. Although there is fluctuation, I believe there is only about a 10% chance of settling Between 3.818 and 3.896, inclusive.","[0.9, 0.1, 0.0, 0.0, 0.0]","['Less than 3.818', 'Between 3.818 and 3.896, inclusive', 'More than 3.896 but less than 3.963', 'Between 3.963 and 4.041, inclusive', 'More than 4.041']","[1, 0, 0, 0, 0]",0.004
895,895,501,c6ef779a375be1d9f5a299079bcd8f85ec97fe4b,"What will be the price of diesel in Zimbabwe in the Bulawayo, Renkini market for April 2019?",132520,2019-04-09T18:16:11Z,"c6ef779a375be1d9f5a299079bcd8f85ec97fe4b: Less than $1.50, 0.0 probability
c6ef779a375be1d9f5a299079bcd8f85ec97fe4b: Between $1.50 and $2.75, inclusive,  0.05 probability
c6ef779a375be1d9f5a299079bcd8f85ec97fe4b: More than $2.75 but less than $4.00,  0.85 probability
c6ef779a375be1d9f5a299079bcd8f85ec97fe4b: Between $4.00 and $5.50, inclusive,  0.1 probability
c6ef779a375be1d9f5a299079bcd8f85ec97fe4b: More than $5.50,  0.0 probability
c6ef779a375be1d9f5a299079bcd8f85ec97fe4b: <a target=""_blank"" href=""https://www.globalpetrolprices.com/Zimbabwe/diesel_prices/"">https://www.globalpetrolprices.com/Zimbabwe/diesel_prices/</a>
The price is at $3.20 for April and I think it will stay between $3 and $4, or maybe jump a little higher.","[0.0, 0.05, 0.85, 0.1, 0.0]","['Less than $1.50', 'Between $1.50 and $2.75, inclusive', 'More than $2.75 but less than $4.00', 'Between $4.00 and $5.50, inclusive', 'More than $5.50']","[0, 0, 1, 0, 0]",0.007
14539,14539,552,f12c4f6cab78c8a40670eacd74207843f83c4870,Will Israel's Prime Minister Benjamin Netanyahu experience a significant leadership disruption between 25 April 2019 and 29 November 2019?,138679,2019-04-29T19:21:35Z,"f12c4f6cab78c8a40670eacd74207843f83c4870: Yes, 0.07 probability
f12c4f6cab78c8a40670eacd74207843f83c4870: No, 0.9299999999999999 probability
f12c4f6cab78c8a40670eacd74207843f83c4870: There doesn't seem to be much of a chance of Prime Minister Benjamin Netanyahu's leadership being disrupted in a major way. Especially since the elections are coming, there doesn't seem to be anyone who could replace him as PM at the moment, being that he still has so much influence and power in the country. He doesn't seem like someone who would resign their post, and there isn't any indication that he will be forced out of office in some way. Therefore, the only way he would leave office is if he wasn't re-elected and if someone else took his place. With that so, it's highly unlikely that there will be a leadership disruption in the current year. Additionally, the Israeli government seems to have the support of the current United States administration, making sure there won't be any change of power any time soon.

<a target=""_blank"" href=""https://www.bbc.com/news/world-middle-east-18008697"">https://www.bbc.com/news/world-middle-east-18008697</a>
<a target=""_blank"" href=""https://www.theguardian.com/commentisfree/2019/apr/24/israel-rightwing-leftist-parties-elections"">https://www.theguardian.com/commentisfree/2019/apr/24/israel-rightwing-leftist-parties-elections</a>
 [UPDATE:] 
f12c4f6cab78c8a40670eacd74207843f83c4870: Yes, 0.05 probability
f12c4f6cab78c8a40670eacd74207843f83c4870: No, 0.95 probability
f12c4f6cab78c8a40670eacd74207843f83c4870: Update:
It seems that the Prime Minister is going to ramp up taking power within the country, leading to a slightly even less chance of this happening. This is because with him being in power, it's even more likely he will stay in power. Even with some opposition against him, he doesn't seem to be letting off any steam or slowing down at all. This is especially with the support he has with the current US President.

<a target=""_blank"" href=""https://www.theguardian.com/commentisfree/2019/apr/24/israel-rightwing-leftist-parties-elections"">https://www.theguardian.com/commentisfree/2019/apr/24/israel-rightwing-leftist-parties-elections</a>
<a target=""_blank"" href=""https://www.theguardian.com/commentisfree/2019/apr/22/benjamin-netanyahu-israel-jerusalem-holy-sites-islam-palestinians"">https://www.theguardian.com/commentisfree/2019/apr/22/benjamin-netanyahu-israel-jerusalem-holy-sites-islam-palestinians</a>

Original:
There doesn't seem to be much of a chance of Prime Minister Benjamin Netanyahu's leadership being disrupted in a major way. Especially since the elections are coming, there doesn't seem to be anyone who could replace him as PM at the moment, being that he still has so much influence and power in the country. He doesn't seem like someone who would resign their post, and there isn't any indication that he will be forced out of office in some way. Therefore, the only way he would leave office is if he wasn't re-elected and if someone else took his place. With that so, it's highly unlikely that there will be a leadership disruption in the current year. Additionally, the Israeli government seems to have the support of the current United States administration, making sure there won't be any change of power any time soon.

<a target=""_blank"" href=""https://www.bbc.com/news/world-middle-east-18008697"">https://www.bbc.com/news/world-middle-east-18008697</a> 
<a target=""_blank"" href=""https://www.theguardian.com/commentisfree/2019/apr/24/israel-rightwing-leftist-parties-elections"">https://www.theguardian.com/commentisfree/2019/apr/24/israel-rightwing-leftist-parties-elections</a>","[0.05,0.95]","['Yes', 'No']",[0],0.005
55556,55556,829,0a19a4523e7accb2d92e2feaac1773d16e7935e0,What will be the daily closing price of silver on 27 November 2019 in USD?,176049,2019-08-23T04:42:06Z,"0a19a4523e7accb2d92e2feaac1773d16e7935e0: Less than 16, 0.02 probability
0a19a4523e7accb2d92e2feaac1773d16e7935e0: Between 16 and 16.7, inclusive,  0.16 probability
0a19a4523e7accb2d92e2feaac1773d16e7935e0: More than 16.7 but less than 17.3,  0.32 probability
0a19a4523e7accb2d92e2feaac1773d16e7935e0: Between 17.3 and 18, inclusive,  0.34 probability
0a19a4523e7accb2d92e2feaac1773d16e7935e0: More than 18,  0.16 probability
0a19a4523e7accb2d92e2feaac1773d16e7935e0: Silver has been rising to where it was a year ago; it's possible it'll surpass 2018 levels by the end of the year, and many projections indicate precisely that.  Of course, much could change in the next few months, and the werewolves do tend to come out during the cold.  I'm forecasting a continued upward trend.","[0.02, 0.16, 0.32, 0.34, 0.16]","['Less than 16', 'Between 16 and 16.7, inclusive', 'More than 16.7 but less than 17.3', 'Between 17.3 and 18, inclusive', 'More than 18']","[0, 0, 1, 0, 0]",0.12592
13178,13178,545,617dea5c47473758a1e9db4d55ac8ae2616d4b30,"Before 30 November 2019, will Brazil's Senate approve the constitutional amendment on pension reform (PEC 6/2019)?",136943,2019-04-23T21:26:02Z,"617dea5c47473758a1e9db4d55ac8ae2616d4b30: Yes, 0.75 probability
617dea5c47473758a1e9db4d55ac8ae2616d4b30: No, 0.25 probability
617dea5c47473758a1e9db4d55ac8ae2616d4b30: Brazil is attempting to push the reform and their goal is to get it done by mid year. , however, the administration says that it will not publish it until it's finalized to avoid push back from different social groups. in addition, the article states ""The proposal will be a constitutional amendment, requiring three-fifths of the votes in both chambers of Congress, and will not include changes to military pensions that will be dealt with separately"". Given all of this information i believe that there i s a good chance it will happen soon.
<a target=""_blank"" href=""https://www.reuters.com/article/brazil-pensions/update-1-brazil-aims-to-pass-pension-reform-by-mid-year-source-idUSL1N1ZN1Y1"">https://www.reuters.com/article/brazil-pensions/update-1-brazil-aims-to-pass-pension-reform-by-mid-year-source-idUSL1N1ZN1Y1</a>","[0.75,0.25]","['Yes', 'No']",[1],0.125
